epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.698,0.95367,2.81438,0.0025,0.94795,0.47949,0.71069,0.64735,0.54086,0.66323,0.00728,0.00997674,0.00332558,0.00997674,0.00332558,0.00997674,0.00332558,0.00997674,0.00332558
2,196.004,0.74477,0.67696,0.00191,0.8915,0.8443,0.88861,0.78101,0.57711,0.48398,0.00888,0.0198436,0.00661453,0.0198436,0.00661453,0.0198436,0.00661453,0.0198436,0.00661453
3,291.422,0.75705,0.56569,0.00191,0.92219,0.79215,0.8706,0.73011,0.73456,0.47413,0.01115,0.0295771,0.00985903,0.0295771,0.00985903,0.0295771,0.00985903,0.0295771,0.00985903
4,385.92,0.72007,0.53519,0.00179,0.94296,0.77013,0.86504,0.7881,0.52044,0.41704,0.0071,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002
5,480.131,0.6462,0.49475,0.0016,0.93643,0.82051,0.89201,0.82123,0.47475,0.41876,0.00651,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336
6,574.81,0.61321,0.47813,0.0015,0.90355,0.86329,0.90966,0.83661,0.4537,1.11453,0.00666,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667
7,669.431,0.57928,0.4561,0.00141,0.9472,0.84025,0.90697,0.82249,0.49203,0.36267,0.00668,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004
8,764.056,0.56864,0.44814,0.00138,0.95711,0.82481,0.90123,0.86209,0.37291,0.33796,0.00495,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338
9,859.175,0.55379,0.43339,0.00133,0.95094,0.84886,0.91173,0.86993,0.36902,0.32662,0.00502,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672
10,953.664,0.54273,0.43081,0.00132,0.93069,0.87367,0.92036,0.88764,0.34488,0.47184,0.00443,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006
11,1047.71,0.53579,0.42602,0.00128,0.95666,0.81595,0.89589,0.85685,0.36567,0.33515,0.00453,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334
12,1141.48,0.53867,0.42535,0.00129,0.94719,0.84456,0.90732,0.87545,0.34349,0.39592,0.0044,0.0278002,0.00926674,0.0278002,0.00926674,0.0278002,0.00926674,0.0278002,0.00926674
13,1235.55,0.52513,0.42081,0.00127,0.96567,0.79038,0.88635,0.86027,0.32102,0.33022,0.00419,0.0276002,0.00920008,0.0276002,0.00920008,0.0276002,0.00920008,0.0276002,0.00920008
14,1329.11,0.52103,0.41491,0.00125,0.96126,0.84177,0.91215,0.87475,0.3469,0.30131,0.00497,0.0274003,0.00913342,0.0274003,0.00913342,0.0274003,0.00913342,0.0274003,0.00913342
15,1421.76,0.51148,0.41369,0.00123,0.93251,0.88152,0.92707,0.90078,0.31842,0.30862,0.00426,0.0272003,0.00906676,0.0272003,0.00906676,0.0272003,0.00906676,0.0272003,0.00906676
16,1515.93,0.51228,0.40921,0.00122,0.94276,0.87139,0.9215,0.89899,0.30215,0.30326,0.0037,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
17,1610.25,0.50824,0.41233,0.00122,0.95566,0.85114,0.91513,0.89315,0.30114,0.29176,0.00358,0.0268003,0.00893344,0.0268003,0.00893344,0.0268003,0.00893344,0.0268003,0.00893344
18,1704.66,0.50627,0.40157,0.00122,0.86579,0.86557,0.89167,0.87413,0.27513,0.42653,0.00342,0.0266003,0.00886678,0.0266003,0.00886678,0.0266003,0.00886678,0.0266003,0.00886678
19,1797.96,0.50338,0.39798,0.00121,0.9485,0.88127,0.93096,0.91347,0.28153,0.28295,0.00362,0.0264004,0.00880012,0.0264004,0.00880012,0.0264004,0.00880012,0.0264004,0.00880012
