epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.1405,1.01188,3.41392,0.00249,0.92475,0.70286,0.82253,0.73603,0.4666,0.44953,0.00665,0.00996785,0.00332262,0.00996785,0.00332262,0.00996785,0.00332262,0.00996785,0.00332262
2,159.119,0.75134,0.66977,0.00178,0.90648,0.87567,0.91454,0.78992,0.54159,0.42354,0.00841,0.0198347,0.00661158,0.0198347,0.00661158,0.0198347,0.00661158,0.0198347,0.00661158
3,233.281,0.76868,0.51147,0.00181,0.90331,0.89432,0.9255,0.76246,0.65457,0.48275,0.01009,0.0295683,0.0098561,0.0295683,0.0098561,0.0295683,0.0098561,0.0295683,0.0098561
4,307.55,0.74765,0.46613,0.00173,0.94227,0.89971,0.93671,0.81872,0.52654,0.32494,0.00792,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002
5,381.53,0.66313,0.42242,0.00153,0.94665,0.8678,0.92453,0.85355,0.38783,0.89383,0.00473,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336
6,455.558,0.62438,0.40402,0.00144,0.96156,0.84998,0.91704,0.85811,0.36093,1.24734,0.00487,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667
7,529.618,0.58464,0.38543,0.00134,0.96515,0.86075,0.92439,0.8672,0.33764,0.26506,0.00411,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004
8,603.851,0.56667,0.37366,0.0013,0.95213,0.90676,0.945,0.87978,0.37102,0.25329,0.00488,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338
9,677.78,0.55235,0.35911,0.00127,0.94029,0.92665,0.95339,0.90965,0.29999,0.2495,0.0039,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672
10,751.667,0.54458,0.35726,0.00125,0.96009,0.88728,0.93688,0.8645,0.37307,0.26125,0.00595,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006
