epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.056,0.33497,0.3603,0.7987,0.93553,0.86303,0.91707,0.90094,0.24347,0.31469,0.72747,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795
2,235.57,0.35011,0.35123,0.79935,0.92349,0.87472,0.92175,0.90081,0.27002,0.30046,0.73031,0.0198506,0.00661688,0.0198506,0.00661688,0.0198506,0.00661688,0.0198506,0.00661688
3,348.032,0.38133,0.38847,0.80448,0.92165,0.86339,0.91138,0.88891,0.2852,0.36443,0.74894,0.0295841,0.00986137,0.0295841,0.00986137,0.0295841,0.00986137,0.0295841,0.00986137
4,460.819,0.4038,0.41277,0.80978,0.92731,0.84184,0.90265,0.8791,0.27972,0.34166,0.73439,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002
5,573.741,0.39961,0.40409,0.80922,0.9346,0.82988,0.8975,0.87557,0.28545,0.34584,0.73569,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336,0.0292001,0.00973336
6,686.133,0.39061,0.39412,0.80701,0.93503,0.82758,0.89711,0.87294,0.2956,0.3545,0.74005,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667,0.0290001,0.0096667
7,798.888,0.38878,0.38729,0.80636,0.88596,0.79304,0.85846,0.84067,0.26976,0.67542,0.73343,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004,0.0288001,0.00960004
8,912.419,0.38549,0.38313,0.80473,0.9466,0.87071,0.92245,0.90601,0.25598,0.28036,0.73176,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338,0.0286001,0.00953338
9,1025.62,0.38162,0.37705,0.8046,0.92161,0.77552,0.86719,0.84593,0.30691,0.33201,0.82132,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672,0.0284002,0.00946672
10,1139.07,0.37668,0.37155,0.80489,0.88705,0.83801,0.89944,0.88362,0.25585,0.31388,0.73244,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006
