epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.841,0.31853,0.23801,0.00073,0.98287,0.94343,0.9741,0.95853,0.22457,0.19395,0.0025,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795
2,298.553,0.35037,0.26028,0.00081,0.92985,0.91387,0.95744,0.93667,0.25619,0.30013,0.00315,0.0198639,0.00662131,0.0198639,0.00662131,0.0198639,0.00662131,0.0198639,0.00662131
3,439.507,0.4163,0.33374,0.00097,0.9259,0.88991,0.94782,0.89785,0.35603,0.36213,0.00451,0.029624,0.00987468,0.029624,0.00987468,0.029624,0.00987468,0.029624,0.00987468
4,584.595,0.46258,0.39219,0.00109,0.92471,0.90282,0.95418,0.92112,0.30208,0.33229,0.00384,0.02946,0.00982,0.02946,0.00982,0.02946,0.00982,0.02946,0.00982
5,729.207,0.45483,0.38998,0.00107,0.88098,0.83434,0.9283,0.88365,0.33709,0.62544,0.0042,0.02928,0.00976,0.02928,0.00976,0.02928,0.00976,0.02928,0.00976
6,873.631,0.45441,0.39071,0.00107,0.9386,0.91625,0.96046,0.91561,0.33606,0.28946,0.00405,0.0291,0.0097,0.0291,0.0097,0.0291,0.0097,0.0291,0.0097
7,1018.29,0.45016,0.3809,0.00105,0.92829,0.91084,0.95593,0.92366,0.29595,0.3053,0.00345,0.02892,0.00964,0.02892,0.00964,0.02892,0.00964,0.02892,0.00964
8,1161.29,0.4476,0.37863,0.00105,0.94377,0.91663,0.96158,0.93102,0.28215,0.28016,0.00355,0.02874,0.00958,0.02874,0.00958,0.02874,0.00958,0.02874,0.00958
9,1305.22,0.44286,0.37333,0.00104,0.94002,0.91801,0.96251,0.93578,0.27545,0.27747,0.00356,0.02856,0.00952,0.02856,0.00952,0.02856,0.00952,0.02856,0.00952
10,1449.21,0.43987,0.36931,0.00103,0.94519,0.89964,0.95765,0.92646,0.28949,0.30144,0.00342,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946
11,1593.81,0.44391,0.37084,0.00104,0.94896,0.91934,0.96336,0.93746,0.26383,0.26239,0.00309,0.0282,0.0094,0.0282,0.0094,0.0282,0.0094,0.0282,0.0094
